"origin","destination","count"
"m_kan","m_var",1
"m_kan","m_dur",1
"m_kan","jat",1
"m_kan","m_nai",1
"m_kan","m_del",1
"m_eas","m_hyd",1
"m_eas","m_gre",1
"m_eas","m_che",1
"m_eas","m_hyd",1
"m_eas","m_chi",1
"m_kan","gkp",1
"cpr","m_dur",1
"cpr","fbd",1
"cpr","m_luc",1
"cpr","m_gre",1
"cpr","m_che",1
"cpr","mtj",1
"cpr","m_var",1
"cpr","m_sur",1
"cpr","m_ana",1
"cpr","tata",1
"m_jal","m_jal",1
"m_jal","m_gre",1
"m_jal","dhi",1
"m_gre","m_amr",1
"m_gre","asn",1
"m_gre","m_amr",1
"m_gre","bjp",1
"m_gre","m_var",1
"m_gre","m_kan",1
"m_gre","m_jal",1
"m_gre","m_fir",1
"m_gre","g",1
"m_gre","m_kol",1
"m_gre","m_hyd",1
"m_gre","jbp",1
"m_gre","kop",1
"m_gre","m_luc",1
"m_gre","lur",1
"m_gre","m_dak",1
"m_gre","m_sou",1
"m_gre","m_che",1
"m_gre","m_nas",1
"m_gre","m_kan",1
"m_gre","m_nan",1
"m_gre","m_nag",1
"m_gre","m_pat",1
"m_gre","m_pun",1
"m_gre","m_sol",1
"m_gre","m_ban",1
"m_gre","m_hyd",1
"m_gre","snsi",1
"m_gre","m_sol",1
"m_gre","m_thi",1
"m_chi","m_hyd",1
"cwa","m_del",1
"cwa","m_ind",1
"cwa","m_nag",1
"m_nan","m_nas",1
"m_pur","m_kol",1
"dbb","m_jal",1
"dbb","m_nag",1
"dbg","m_ahm",1
"dbg","m_del",1
"dbg","m_kol",1
"dbg","m_kol",1
"dbg","m_gre",1
"dbg","m_mys",1
"dbg","m_del",1
"dbg","m_tin",1
"dbg","m_pun",1
"dbg","m_hyd",1
"m_dib","m_amr",1
"m_dib","m_kan",1
"m_dib","cdg",1
"m_dib","m_del",1
"m_dib","m_kol",1
"m_dib","jaj",1
"m_dib","m_kol",1
"m_dib","kyq",1
"m_dib","m_che",1
"m_dib","m_del",1
"m_dib","m_kam",1
"m_dib","m_ban",1
"m_dib","m_del",1
"m_pun","m_nan",1
"m_deh","m_all",1
"m_deh","m_amr",1
"m_deh","m_gre",1
"m_deh","m_var",1
"m_deh","m_del",1
"m_deh","gkp",1
"m_deh","m_kol",1
"m_deh","m_ind",1
"m_deh","m_thi",1
