"origin","destination","count"
"kcvl","sbc",1
"kcvl","ubl",1
"kcvl","ypr",1
"kgm","anvt",1
"kgm","cnb",1
"kgm","ddn",1
"kgm","dli",1
"kgm","hwh",1
"kgm","jat",1
"kgm","jsm",1
"kgm","ljn",1
"kgn","dj",1
"kgn","kgnd",1
"kgp","prr",1
"kgp","vm",1
"kik","ers",1
"kik","ltt",1
"kik","ms",1
"kir","asr",1
"kir","hwh",1
"kir","pnbe",1
"kir","sguj",1
"kir","tata",1
"kjm","vskp",1
"kkdi","ms",1
"klk","bdts",1
"klk","bme",1
"klk","dee",1
"klk","hwh",1
"klk","ndls",1
"klk","sml",1
"klk","snsi",1
"klk","svdk",1
"kne","aii",1
"koaa","adi",1
"koaa","agc",1
"koaa","aii",1
"koaa","amh",1
"koaa","anvt",1
"koaa","asr",1
"koaa","bkn",1
"koaa","blgt",1
"koaa","daka",1
"koaa","dbg",1
"koaa","dbrg",1
"koaa","ghy",1
"koaa","gkp",1
"koaa","hdb",1
"koaa","jat",1
"koaa","jbn",1
"koaa","jhs",1
"koaa","jsme",1
"koaa","jyg",1
"koaa","lgl",1
"koaa","mfp",1
"koaa","nldm",1
"koaa","pnbe",1
"koaa","rdp",1
"koaa","smi",1
"kop","adi",1
"kop","cstm",1
"kop","dhn",1
"kop","g",1
"kop","hyb",1
"kop","ngp",1
"kop","nzm",1
"kop","pau",1
"kop","sbc",1
"kop","sur",1
"kop","tpty",1
"kota","bix",1
"kota","indb",1
"kota","jat",1
"kota","jp",1
"kota","nzm",1
"kota","pnbe",1
"kota","sgnr",1
"kota","uhp",1
"krba","tvc",1
"krba","vskp",1
"krba","ypr",1
"krdl","vskp",1
"krmi","ltt",1
"krmr","tpty",1
"krnt","sc",1
"krpu","rou",1
"ktw","dee",1
"ktw","dli",1
"ktw","hwh",1
"kurj","bsb",1
"kurj","nzm",1
"kurj","udz",1
"kyq","anvt",1
"kyq","bnc",1
"kyq","dbrg",1
"kyq","dkgn",1
"kyq","dmv",1
"kyq","dnr",1
"kyq","gaya",1
"kyq","gimb",1
"kyq","jp",1
"kyq","ledo",1
"kyq","lmg",1
"kyq","ltt",1
"kyq","pune",1
"kyq","puri",1
"kyq","rnc",1
"kyq","ypr",1
"ldh","ndls",1
"ledo","kyq",1
"lgh","abs",1
"lgh","ntsk",1
"lgl","koaa",1
"lgl","sdah",1
"ljn","agc",1
"ljn","anvt",1
"ljn","bdts",1
"ljn","bju",1
"ljn","bpl",1
"ljn","cdg",1
"ljn","cpr",1
"ljn","cstm",1
"ljn","gkp",1
"ljn","jbp",1
"ljn","jhs",1
"ljn","jp",1
"ljn","kgm",1
"ljn","ltt",1
"ljn","mas",1
"ljn","mtc",1
"ljn","muv",1
"ljn","ndls",1
"ljn","pune",1
"ljn","r",1
"lko","adi",1
"lko","ald",1
"lko","anvt",1
"lko","bdl",1
"lko","bsb",1
"lko","cdg",1
"lko","ltt",1
"lko","ndls",1
"lko","nldm",1
"lko","pyg",1
"lko","svdk",1
"lko","ypr",1
"lku","asr",1
"lku","hwh",1
"lmg","kyq",1
"ltt","agc",1
"ltt","ajni",1
"ltt","ald",1
"ltt","amh",1
"ltt","bbs",1
"ltt","be",1
"ltt","bgp",1
"ltt","bidr",1
"ltt","bsb",1
"ltt","cbe",1
"ltt","cpr",1
"ltt","dbg",1
"ltt","ers",1
"ltt","fd",1
"ltt","ghy",1
"ltt","gkp",1
"ltt","hbj",1
"ltt","hte",1
"ltt","hw",1
"ltt","hwh",1
"ltt","kcvl",1
"ltt","kik",1
"ltt","krmi",1
"ltt","kyq",1
"ltt","ljn",1
"ltt","lko",1
"ltt","maq",1
"ltt","mas",1
"ltt","mdu",1
"ltt","mfp",1
"ltt","mmr",1
"ltt","ned",1
"ltt","nzb",1
"ltt","nzm",1
"ltt","pbh",1
"ltt","puri",1
"ltt","rjpb",1
"ltt","rnc",1
"ltt","sc",1
"ltt","shm",1
"ltt","sln",1
"ltt","tvc",1
"ltt","ubl",1
"ltt","vskp",1
"lur","cstm",1
"majn","cstm",1
"mao","cdg",1
"mao","cstm",1
"mao","dr",1
"mao","ers",1
"mao","hapa",1
"mao","maq",1
"maq","cbe",1
"maq","jat",1
"maq","kcg",1
"maq","ltt",1
"maq","mao",1
"maq","mas",1
"maq","ms",1
"maq","ncj",1
"maq","pdy",1
"maq","src",1
"maq","tvc",1
"maq","ypr",1
"mas","adi",1
"mas","allp",1
"mas","asn",1
"mas","bbs",1
"mas","bkn",1
"mas","bsp",1
"mas","bza",1
"mas","cbe",1
"mas","cpr",1
"mas","cstm",1
"mas","ed",1
"mas","ers",1
"mas","hlz",1
"mas","hwh",1
"mas","hyb",1
"mas","jat",1
"mas","jp",1
"mas","lko",1
"mas","ltt",1
"mas","maq",1
"mas","mdu",1
"mas","mtp",1
"mas","mys",1
"mas","ncj",1
"mas","ndls",1
"mas","njp",1
"mas","nsl",1
"mas","nzm",1
"mas","plni",1
"mas","puri",1
"mas","sbc",1
"mas","shm",1
"mas","snsi",1
"mas","src",1
"mas","sspn",1
"mas","tpty",1
"mas","tvc",1
"mas","ubl",1
"mas","vsg",1
"mas","vskp",1
"mas","ypr",1
"mau","anvt",1
"mbf","bgkt",1
"mds","mtc",1
"mdu","ddn",1
"mdu","kcg",1
"mdu","ltt",1
"mdu","mas",1
"mdu","ms",1
"mdu","nzm",1
"mdu","puu",1
"mfp","anvt",1
"mfp","bdts",1
"mfp","bgp",1
"mfp","bl",1
"mfp","ddn",1
"mfp","jat",1
"mfp","koaa",1
"mfp","ltt",1
"mfp","muv",1
"mfp","pbr",1
"mfp","st",1
"mfp","umb",1
"mfp","ypr",1
"mhv","st",1
"mj","mvj",1
"mka","hwh",1
"mkp","nzm",1
"mldt","anvt",1
"mldt","dgha",1
"mldt","dli",1
"mldt","hwh",1
"mldt","ndls",1
"mldt","pnbe",1
"mldt","sdah",1
